,Name,Number
0,Aaron,7296894395
1,Abbey,7177234354
2,Abbie,9189736212
3,Abbot,9458965459
4,Abbott,7217557386
5,Abby,9857154624
6,Abdel,8646352858
7,Abdul,8246162748
8,Abdulkarim,9244615412
9,Abdullah,9385672772
10,Abe,7892766312
11,Abel,8373179569
12,Abelard,7417963344
13,Abner,8398993299
14,Abraham,7989534123
15,Abram,9511521749
16,Ace,9194948496
17,Adair,7738361563
18,Adam,8537531191
19,Adams,7817875673
20,Addie,7941641379
21,Adger,7491697518
22,Aditya,9471586954
23,Adlai,9295831225
24,Adnan,9428859477
25,Adolf,7889499795
26,Adolfo,7189949848
27,Adolph,9144286351
28,Adolphe,9434152798
29,Adolpho,9312828626
30,Adolphus,9491428346
31,Adrian,7561246612
32,Adrick,8213375473
33,Adrien,9113372833
34,Agamemnon,9462437349
35,Aguinaldo,8358463376
36,Aguste,7649598437
37,Agustin,9618937485
38,Aharon,8623419349
39,Ahmad,8267234543
40,Ahmed,7664544938
41,Ahmet,8231378682
42,Ajai,9841516338
43,Ajay,7458813255
44,Al,7735387239
45,Alaa,7116851896
46,Alain,7449661523
47,Alan,8566437149
48,Alasdair,7611867667
49,Alastair,9998462185
50,Albatros,9862532693
51,Albert,9115572886
52,Alberto,8565869896
53,Albrecht,9171693883
54,Alden,9522593755
55,Aldis,9594144791
56,Aldo,8449512265
57,Aldric,8822514116
58,Aldrich,8769766586
59,Aldus,8617441763
60,Aldwin,9858747575
61,Alec,7582766991
62,Aleck,9746293644
63,Alejandro,9638332453
64,Aleks,9812382616
65,Aleksandrs,7743731772
66,Alessandro,9727445877
67,Alex,8876661116
68,Alexander,8783471888
69,Alexei,7748794496
70,Alexis,7431598534
71,Alf,7564537948
72,Alfie,7233892614
73,Alfonse,9935178476
74,Alfonso,7552696415
75,Alfonzo,9686557964
76,Alford,9363524793
77,Alfred,7913829492
78,Alfredo,9496157878
79,Algernon,7164393779
80,Ali,7597671911
81,Alic,9355692614
82,Alister,7124834157
83,Alix,7784925155
84,Allah,7781218672
85,Allan,8125334511
86,Allen,9458785154
87,Alley,7141114192
88,Allie,7627843351
89,Allin,9866189237
90,Allyn,9175243672
91,Alonso,8671547784
92,Alonzo,9986185556
93,Aloysius,8171648663
94,Alphonse,9674234282
95,Alphonso,8141977215
96,Alston,9994539969
97,Alton,8626345463
98,Alvin,8566846151
99,Alwin,7828444573
100,Amadeus,7189555353
101,Ambros,8291254441
102,Ambrose,7321538895
103,Ambrosi,8128364945
104,Ambrosio,9632778553
105,Ambrosius,8969364957
106,Amery,8295266322
107,Amory,7362374567
108,Amos,9724921347
109,Anatol,9214153363
110,Anatole,8836574271
111,Anatollo,9935229555
